Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,nbVendeurs,latitudeVille,longitudeVille,Etat,nbVendeursParCommande
itapecerica da serra,98,89.17122448979592,15.37826530612245,3.9693877551020407,4,-23.718320952615514,-46.83834116251064,São Paulo,0.04081632653061224
nova lima,98,213.89846938775506,23.732551020408163,4.0,1,-20.007035015080355,-43.90569776372665,Minas Gerais,0.01020408163265306
guaratingueta,98,153.6575,19.188333333333336,4.18,1,-22.7999944837546,-45.19355251131392,São Paulo,0.01020408163265306
itatiba,97,124.21969072164948,16.337113402061853,4.154639175257732,4,-23.010064480685877,-46.836993895792645,São Paulo,0.041237113402061855
palhoca,95,121.70340425531917,22.448191489361704,3.8105263157894735,1,-27.66074713935533,-48.66757051412945,Santa Catarina,0.010526315789473684
palhoca,95,121.70340425531917,22.448191489361704,3.8105263157894735,7,-27.66074713935533,-48.66757051412945,Santa Catarina,0.07368421052631578
vinhedo,95,97.37095744680852,16.65914893617021,4.105263157894737,"",-23.038252646431907,-46.9800258542323,São Paulo,""
salto,95,113.92968085106385,15.712021276595744,4.2,9,-23.196762532604946,-47.29260635951403,São Paulo,0.09473684210526316
araras,94,141.78053191489363,19.785957446808514,4.361702127659575,3,-22.357745988322254,-47.37554553542299,São Paulo,0.031914893617021274
itajuba,94,150.1659574468085,25.42127659574468,4.25531914893617,"",-22.42754484908587,-45.45660671471727,Minas Gerais,""
olinda,93,141.39548387096772,26.884516129032257,4.0,"",-7.990892083321361,-34.857306360459255,Pernambuco,""
criciuma,93,167.63130434782605,25.979891304347827,3.89247311827957,4,-28.684533006297166,-49.37750467500366,Santa Catarina,0.043010752688172046
mogi-guacu,93,136.85516483516483,16.686923076923076,4.225806451612903,"",-22.35612015503117,-46.94205920344709,São Paulo,""
